,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
total,2691665,116955,116055,127525,106445,115130,103760,107730,112925,107400,114315,100520,104940,99590,105395,101790,93165,109055,117405,108440,108290,110445,104230,97610,101115,101445
visible_minority,1385855,88495,31445,35355,27865,63255,48205,79780,35925,34290,48890,32865,29680,49530,34575,42250,54375,76745,78135,36415,61155,77125,84015,90015,71985,73475
south_asian,338965,33825,6910,7050,5010,6515,3645,15285,3010,4545,9550,4510,4015,11780,5670,13555,15895,11120,6980,11825,23340,28240,14600,25450,33570,33080
chinese,299465,1635,3530,4445,3710,2465,3230,3715,4765,6300,16865,14030,4725,11020,13000,10755,6995,34115,29750,6155,6325,10245,47750,43935,5435,4560
black,239850,27365,6825,6325,5625,26720,8160,24565,6205,6885,5835,2530,5395,9030,5220,3055,8665,4735,2310,7135,12110,10630,6535,7400,14420,16150
filipino,152715,4460,2835,4255,2805,6755,17070,5955,12045,2790,2565,1305,5050,5010,2440,3140,6895,5230,6380,3460,9735,13815,5670,6235,8030,8790
latin_american,77165,5605,3725,3060,2320,9820,5300,10250,3285,5850,2735,1635,2995,2455,1415,1425,2195,1845,1720,1490,1405,1895,890,745,1560,1555
arab,36030,3705,885,1155,700,590,930,1600,470,505,2190,1730,915,1830,560,1240,3355,2765,1930,680,745,2735,2200,890,945,780
southeast_asian,41645,2015,715,1315,1595,5030,3000,9560,1170,2410,1590,885,835,1620,1465,445,610,880,935,765,1050,1050,700,770,695,535
west_asian,60325,2790,1315,915,585,595,2060,1920,1215,520,1810,1255,1525,1530,765,4215,5120,8285,12780,980,1495,2790,1565,630,2315,1350
korean,41640,480,2165,2425,1015,450,1690,445,1055,895,1850,2265,1500,1750,615,1990,1345,4540,12135,725,325,465,665,205,345,310
japanese,13415,145,500,655,730,295,225,125,460,580,905,925,770,625,990,560,545,575,1045,740,615,340,395,125,285,265
other_visible_minoirty,36975,4115,805,2185,2255,1760,975,3335,740,1250,885,490,565,1025,670,470,1085,615,400,925,1890,2570,995,1425,2210,3340
multiple_visible_minorities,47670,2355,1235,1575,1515,2255,1915,3030,1510,1765,2100,1310,1390,1860,1760,1400,1680,2035,1755,1540,2115,2340,2060,2205,2175,2785
not_visible_minority,1305815,28460,84615,92165,78580,51875,55555,27950,77000,73105,65430,67650,75260,50060,70815,59540,38785,32315,39270,72020,47140,33320,20210,7595,29125,27965