,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47
total,2691665,60045,56295,63170,65330,49010,66690,47220,53970,47355,67995,61785,52335,55450,57475,62010,67515,65575,70235,71110,36325,27790,41200,45245,39780,42990,56285,59385,55230,57125,47780,61275,67305,54615,58025,64440,59370,53565,63575,64340,66845,68980,60610,68220,61655,63445,57085,48630
visible_minority,1385850,49875,35405,18215,18755,14250,18795,33010,42590,27745,26590,33775,29040,23020,12900,16840,24725,14330,22510,20665,15945,10965,21700,25390,16860,18335,13810,22500,36785,39390,33365,43375,34540,33360,13865,30310,22000,12530,27235,44230,44585,51535,47655,58615,56655,57210,42895,27165
south_asian,338960,20615,12210,4020,4315,3290,3330,8140,6960,2120,1795,2810,3675,1730,1275,1555,3060,2425,3885,3065,3275,1710,4910,7575,1820,3200,2915,2995,3610,3285,3340,7775,7030,16000,2890,12225,3035,2810,10740,17000,16175,20900,9405,7885,15755,28935,20395,11095
chinese,299465,700,805,2450,1620,1590,2445,1070,2455,1370,2125,1520,930,1605,3160,2565,3020,2455,3710,7620,5125,2365,7865,3330,8140,7220,2950,8955,14965,14710,17610,16500,5815,2225,3610,3830,9920,2860,2630,4190,5025,8250,24240,39860,26815,2870,1935,2445
black,239855,13935,11990,3320,5135,2380,3760,9010,14365,7040,2425,14660,11875,5150,1060,3785,5735,2780,4265,2350,2055,3120,1825,4935,1715,1225,1490,1675,890,1305,1575,3160,6360,3270,1855,5290,3410,2410,5830,8715,5760,7230,4430,3195,5245,11405,9685,5765
filipino,152715,2190,2050,1975,1375,1390,2560,2710,2850,5640,12970,2845,3870,8615,3425,3170,3005,1075,2230,1175,690,710,740,3750,785,805,1220,1505,1180,4060,925,4305,4305,3685,1520,3010,990,1125,3035,7820,9015,7120,3690,2635,4340,6720,4630,3275
latin_american,77165,2410,3045,1630,2495,1100,1710,5280,4175,4755,1425,5465,4240,2325,955,2330,4450,1590,1810,1580,945,575,755,1285,680,895,1060,1020,610,1035,705,1140,1715,740,800,1100,675,615,760,905,1130,1130,645,390,485,890,945,770
arab,36030,3120,525,675,385,460,590,425,970,550,590,360,230,215,250,370,300,470,375,635,760,360,1725,860,465,915,495,545,1150,765,655,2110,2920,1055,330,550,285,285,350,520,2215,740,1065,1395,555,525,600,335
southeast_asian,41650,1065,925,540,305,530,695,3290,5545,3235,535,2955,2060,920,245,555,1845,630,1610,750,440,365,400,915,775,435,240,250,425,465,385,500,340,415,455,480,1015,325,455,695,600,545,360,470,515,360,525,280
west_asian,60320,1715,1015,840,590,395,470,680,1125,785,1635,345,255,395,820,335,285,405,325,520,855,430,735,655,380,940,1100,2425,5930,6610,3975,4305,2595,3935,480,1285,370,235,880,1090,1455,1970,1130,550,410,860,1200,580
korean,41640,140,325,1380,1055,1515,650,210,240,250,1535,320,130,400,655,535,480,810,530,980,575,285,1210,540,745,1450,970,1740,6395,5645,2935,1610,1070,485,405,510,290,345,150,230,220,385,415,315,115,75,145,250
japanese,13410,40,100,275,285,265,335,60,55,50,185,225,70,165,290,375,260,530,375,475,250,220,460,185,505,370,540,400,710,330,300,275,465,140,560,405,470,360,395,320,195,195,240,190,95,45,145,220
other_visible_minoirty,36975,2715,1300,380,555,815,1345,1065,2080,745,425,1095,660,600,140,345,985,370,2170,465,270,295,285,555,225,250,230,255,145,230,165,445,755,455,310,625,390,395,835,1360,1440,1495,725,530,875,2445,1540,1170
multiple_visible_minorities,47670,1235,1115,735,650,530,905,1055,1770,1220,945,1185,1050,895,620,925,1295,785,1215,1055,710,525,785,815,635,630,600,730,775,940,790,1240,1160,950,645,990,1145,760,1175,1385,1350,1585,1315,1200,1455,2080,1150,975
not_visible_minority,1305815,10165,20895,44955,46575,34760,47890,14215,11380,19605,41405,28005,23295,32430,44575,45165,42790,51245,47730,50445,20380,16825,19500,19855,22915,24650,42475,36885,18445,17730,14415,17895,32770,21250,44160,34130,37370,41035,36335,20115,22255,17440,12955,9605,4995,6235,14185,21465